Primary Key,Program,Community,Services Requested,Client Status,HH Work Compliance Status,Member Work Compliance Status
t1029039H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- unable to contact client,Non-Compliant Period,Non-Compliant
t1029039H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- unable to contact client,Non-Compliant Period,Non-Compliant
t1086387H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Progressing
t1086387H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Discharged- client declined services,Non-Compliant Period,Progressing
t1133144H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1133144H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1058004H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Compliant
t1058004H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Compliant
t1101616H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1133678H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1025243H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1091570M22887,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client inactive in program,Non-Compliant Period,Non-Compliant
t1001856M36693,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Progressing
t1001856M36693,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Progressing
t1001856M36693,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Progressing
t0023753H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t0023753H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1124786H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- unable to contact client,Non-Compliant Period,Non-Compliant
t1058004M29629,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1025660H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Progressing
t1025919M27968,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1025919M27968,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1025919M27968,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1027504H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1027504H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1230913H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1203625H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- unable to contact client,Non-Compliant Period,Non-Compliant
t1213471H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- unable to contact client,Non-Compliant Period,Non-Compliant
t1230907H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client inactive in program,Non-Compliant Period,Non-Compliant
t1210829H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1131576M23593,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Exempt
t1229953M20296,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- unable to contact client,Non-Compliant Period,Non-Compliant
t1231989H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1231989H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1231989H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1134682M27565,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1206514H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1230511H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Discharged- client declined services,Compliant Period,Compliant
t1129699M29433,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- unable to contact client,Non-Compliant Period,Exempt
t1135172M31677,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1223668H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1091587M29982,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1053981H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1134698H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1134698H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1134843M33169,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1207142H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1231475H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1231475H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1231475H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1231475H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1206715H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1206715H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1206715H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1206715H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1209585H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1226707H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1226707H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1135362H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1135362H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1135362H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1135362H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1232161H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1232161H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1232161H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1221038H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client inactive in program,Non-Compliant Period,Non-Compliant
t1232413H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Compliant Period,Exempt
t1232161M26841,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1232161M26841,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1232181H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1232181H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1219947M27079,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Exempt
t1232161M26841,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1058658M21222,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1058658M21222,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1058658M21222,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1041862M25697,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1041862M25697,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1041862M25697,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1059112H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1059112H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1135565H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Compliant
t1202293H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client inactive in program,Non-Compliant Period,Progressing
t1212091H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Progressing
t1229953H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Compliant
t1229953H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- unable to contact client,Non-Compliant Period,Compliant
t1231084H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Discharged- unable to contact client,Non-Compliant Period,Non-Compliant
t1229548H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1036157M26010,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1023546H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1016032M23853,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1044931H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1044931H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1020434H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1008756H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
b1049325M29899,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1016032H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1014138H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1003934H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1101657H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1101657H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t0026108H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t0026108H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t0026108H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1129395M22155,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1226658H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1226658H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1206090H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1206090H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1206090H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1217019H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1217019H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1129395H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1134550H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1226500H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1208775M26987,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1208775M26987,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1204999M29911,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1204999M29911,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1211139H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1224050H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1224050H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1201801H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1201801H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1220377H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1220377H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1220377H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1215876H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1215876H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1211194M26457,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1211194M26457,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1211194M26457,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1217516H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1217516H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1226500H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1203937H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1203937H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1205516H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1205516H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1218556H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1218556H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1220708H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1221289H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1221289H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1221289H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1203937M21589,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1203937M21589,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1208030H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1129060H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1209309H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1228252H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1221858H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1204999H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1204999H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1205094H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1205094H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1201801H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1216269H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1216269H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1216269H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1206669H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1206669H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1224663H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1224663H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1228643H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1211261H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1211261H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1211261H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1211261H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1134550M39577,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1129060M22544,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1227610H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1201253M21992,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1201253M21992,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1207835H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1134550M27833,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1224492H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1215329H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Hold- pending client enrollment,Compliant Period,Compliant
t1215329H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1229602H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1229101H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1229101H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client declined services,Non-Compliant Period,Non-Compliant
t1222410H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Discharged- client completed program,Compliant Period,Compliant
t1222410H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
t1215703H,VO-Voucher,Housing Choice Voucher,Good Neighborhood Training,Enrolled- client active in program,Compliant Period,Compliant
